id,hostname,model,exist in CA Spectrum
48510594556578029,SJCSFP01.marriott.com,C11118PLteEA,True
48851796145856986,DXBRG-SW02-L11-MDF,,False
49158474163417397,TPEWHS55.Marriott.com,catalyst296024,False
49622619509560602,SDFFVP01.marriott.com,C11118PLteEA,True
49669532712047174,DOHRZSW03-IDFL04-A,"HP J9775A 2530-48G Switch, revision YA.16.10.0016,",False
49869114962329930,RALRIP01.marriott.com,C11118PLteEA,True
49921881318585835,QMDJVS03,"HP J9850A Switch 5406Rzl2, revision KB.16.10.0016,",False
50016045129569205,XIYWHSW01-26F-IDF,J9773A,False
50420386662380384,SW-BOH-SPARE,jvSwitch4500-26,False
50600274340375909,DXBJWS12,"HP J9148A 2910al-48G-PoE Switch, revision W.15.14.",False
50729766709734139,unknown,,False
50840878879287603,CHIRLSW01-36-IDF,J9772A,False
51252511947306605,KHNSIS50.Marriott.com,WsC2960P48TcS,False
51484619808011403,NKGSCSW02-25-IDF,J9772A,False
52081231562169233,CNXMDS47.Marriott.com,catalyst296024TT,False
52373492798569344,HGHERSW01-26-IDFT3,cat29xxStack,False
52648958847139305,MQTFISW02,"HP J9776A 2530-24G Switch, revision YA.16.10.0016,",False
54024948195708158,INDEDP01.marriott.com,C800,True
54816392340900429,unknown,,False
55586477599925122,AUSAPP01.marriott.com,1921k9,True
55787526805867959,unknown,,False
56162244949804691,unknown,,False
56182888738376315,DOHSQS17,Aruba JL558A,False
56633455165079127,DOHLASW15,Aruba JL261A,False
57028761768097319,SLCACS01,"HP J9776A 2530-24G Switch, revision YA.16.10.0016,",False
57148089125721404,CZXSIS55,s2326TP-EI,False
57899021629455514,AUHAL,,False
58014757507684929,unknown,,False
58194162629061808,CHIJW-SW065-06-IDF650,J9147A,False
58213223913857903,DXBSF52,"HP J9727A 2920-24G-PoE+ Switch, revision WB.16.10.",False
59699769005400981,SZXGBSW02-B1-IDFDressingRoomBP,J9776A,False
59778878424735040,MSPTSSW01,"ProCurve J9019B Switch 2510B-24, revision Q.11.78,",False
