id,hostname,model,exist in Netmri
0x101c1da,HDQNCSSC7K02-ADM-02,CiscoNXOS,False
0x12141ff,MILFPP01,Rtr_Cisco,False
0x101c1de,HDQNCNSC7K01-BBONE-01,CiscoNXOS,False
0x12041c0,BDLRWP01.marriott.com,GnSNMPDev,False
0x12181c1,GRRHOP01.marriott.com,Rtr_Cisco,False
0x11dc1ff,CLTADP01.marriott.com,GnSNMPDev,False
0x102c1e0,HDQNCNPM07.mihdq.marrcorp.marriott.com,Host_Compaq,False
0x12241c1,USCAIRVISWA02_SNA60ISWA02.ops.starwoodhotels.com,Pingable,False
0x12c41c8,CLTMUP01.marriott.com,Rtr_Cisco,False
0x12d01c5,sha66vminfoblox.marriott.com,GnSNMPDev,False
0x133c1d8,CHAERP01.marriott.com,Rtr_Cisco,False
0x11e41f1,OKCMOP01.marriott.com,Rtr_Cisco,True
0x11901e9,NYC94LSWC01.Marriott.com,SwCiscoIOS,False
0x11901e8,NYC94LSWC02.Marriott.com,SwCiscoIOS,False
0x11fc1ed,YHMSIP01,Rtr_Cisco,False
0x12281d4,BHMRHP01.marriott.com,Rtr_Cisco,False
0x12101d9,ATLRIP01.marriott.com,GnSNMPDev,False
0x12001d8,CLEAAP01,GnSNMPDev,False
0x11901e5,NYC95LLTS01.marriott.com,Rtr_Cisco,False
0x11901e4,USNYNYCVPND01-NYC94R01.marriott.com,Rtr_Cisco,False
0x11901e7,NYC94R01.marriott.com,Rtr_Cisco,False
0x11901e6,NYC94R02.marriott.com,Rtr_Cisco,False
0x1214021,ATLNRP01,Rtr_Cisco,False
0x11f001c,BHMTVP01.marriott.com,GnSNMPDev,False
0x101c004,NANMCP01.marriott.com,GnSNMPDev,False
0x1314038,MCICOP01.marriott.com,Rtr_Cisco,False
0x11e4014,MEMSSP01.marriott.com,Rtr_Cisco,False
0x11dc016,LANWEP01.marriott.com,Rtr_Cisco,False
0x1334038,MADKVP01.marriott.com,GnSNMPDev,False
0x121802a,BOITSP01.marriott.com,Rtr_Cisco,False
0x120c030,SHDFIP01.marriott.com,GnSNMPDev,False
0x1210035,ROASLP01.marriott.com,GnSNMPDev,False
0x12e403b,MANOCP01.marriott.com,Rtr_Cisco,False
